text,edge,slot,intent
american flights from chicago to los angeles morning,american flights from chicago to los angeles morning,B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.period_of_day,atis_flight
what types of ground transportation are there to san francisco airport,what types of ground transportation are there to san francisco airport,O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name,atis_ground_service
in the next two days i want to fly from nashville to san jose or to tacoma,in the next two days i want to fly from nashville to san jose or to tacoma,O O B-depart_date.date_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-or O B-toloc.city_name,atis_flight
does continental airlines fly from denver to san francisco,does continental airlines fly from denver to san francisco,O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
chicago to milwaukee,chicago to milwaukee,B-fromloc.city_name O B-toloc.city_name,atis_flight
how many flights does twa have in business class,how many flights does twa have in business class,O O O O B-airline_code O O B-class_type I-class_type,atis_quantity
show me the flights from dallas to baltimore in first class,show me the flights from dallas to baltimore in first class,O O O O O B-fromloc.city_name O B-toloc.city_name O B-class_type I-class_type,atis_flight
i'd like to find the least expensive one way fare from boston to philadelphia,i'd like to find the least expensive one way fare from boston to philadelphia,O O O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
how many booking classes are there,how many booking classes are there,O O O O O O,atis_quantity
what are the flights from tacoma to san jose on wednesday the nineteenth,what are the flights from tacoma to san jose on wednesday the nineteenth,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_date.day_number,atis_flight
what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco,what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco,O O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O B-toloc.city_name I-toloc.city_name,atis_flight
please list all the arriving and departing flights from general mitchell international,please list all the arriving and departing flights from general mitchell international,O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name,atis_flight
what time zone is denver in,what time zone is denver in,O O O O B-city_name O,atis_city
show me ground transportation in boston and in baltimore,show me ground transportation in boston and in baltimore,O O O O O B-city_name O O B-city_name,atis_ground_service
i want to find the first flight from baltimore to boston that serves a meal,i want to find the first flight from baltimore to boston that serves a meal,O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O B-meal,atis_flight
from seattle to salt lake city,from seattle to salt lake city,O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,atis_flight
can you show me the flights from dallas to baltimore with economy fares,can you show me the flights from dallas to baltimore with economy fares,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-economy O,atis_flight
what flights leave from phoenix,what flights leave from phoenix,O O O O B-fromloc.city_name,atis_flight
what are the flights from pittsburgh to denver,what are the flights from pittsburgh to denver,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
show flights leaving miami to cleveland on us air that leave after noon,show flights leaving miami to cleveland on us air that leave after noon,O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time_relative B-depart_time.time,atis_flight
please give me a list of all the flights between dallas and baltimore and their cost,please give me a list of all the flights between dallas and baltimore and their cost,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O,atis_flight#atis_airfare
what does fare code y mean,what does fare code y mean,O O O O B-fare_basis_code O,atis_abbreviation
ground transportation in phoenix,ground transportation in phoenix,O O O B-city_name,atis_ground_service
okay could you tell me what flight leaves dallas to san francisco by united airline,okay could you tell me what flight leaves dallas to san francisco by united airline,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name,atis_flight
show me all flights from denver to san francisco next wednesday which leave after noon,show me all flights from denver to san francisco next wednesday which leave after noon,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O O B-depart_time.time_relative B-depart_time.time,atis_flight
is there a flight from atlanta to san francisco that stops over in denver,is there a flight from atlanta to san francisco that stops over in denver,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name,atis_flight
show departures and arrivals in atlanta for american airlines,show departures and arrivals in atlanta for american airlines,O O O O O B-city_name O B-airline_name I-airline_name,atis_flight
find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day,find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.date_relative O,atis_flight
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day,atis_flight
i want a flight originating in denver going to pittsburgh and atlanta in either order,i want a flight originating in denver going to pittsburgh and atlanta in either order,O O O O O O B-fromloc.city_name O O B-toloc.city_name O B-toloc.city_name O O O,atis_flight
show me the flights from dallas to atlanta,show me the flights from dallas to atlanta,O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
what flights are available from denver to san francisco,what flights are available from denver to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
what is the cost of a flight from boston to denver,what is the cost of a flight from boston to denver,O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
show me the earliest flight from san jose to pittsburgh that serves a snack,show me the earliest flight from san jose to pittsburgh that serves a snack,O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-meal_description,atis_flight
could you please give me the round trip fare from denver to atlanta,could you please give me the round trip fare from denver to atlanta,O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
do you have a flight leaving boston at 645 am going to washington,do you have a flight leaving boston at 645 am going to washington,O O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time O O B-toloc.city_name,atis_flight
what are all the flights into atlanta's airport,what are all the flights into atlanta's airport,O O O O O O B-toloc.city_name O,atis_flight
show me the flights from atlanta to denver on friday,show me the flights from atlanta to denver on friday,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
what does fare code qx mean,what does fare code qx mean,O O O O B-fare_basis_code O,atis_abbreviation
i would like information on twa flights from washington to philadelphia,i would like information on twa flights from washington to philadelphia,O O O O O B-airline_code O O B-fromloc.city_name O B-toloc.city_name,atis_flight
which airlines fly from boston to washington dc but stopover in some other city,which airlines fly from boston to washington dc but stopover in some other city,O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O,atis_airline
ground transportation in oakland,ground transportation in oakland,O O O B-city_name,atis_ground_service
list all afternoon flights on united airlines from san francisco to denver,list all afternoon flights on united airlines from san francisco to denver,O O B-depart_time.period_of_day O O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
show me all flights from san francisco to pittsburgh on a monday,show me all flights from san francisco to pittsburgh on a monday,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name,atis_flight
what is the latest flight leaving boston to denver,what is the latest flight leaving boston to denver,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name,atis_flight
okay i would like to know the type of aircraft used on a flight from cleveland to dallas please,okay i would like to know the type of aircraft used on a flight from cleveland to dallas please,O O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O,atis_aircraft
please show me the flights from las vegas to detroit on the twenty eighth,please show me the flights from las vegas to detroit on the twenty eighth,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number,atis_flight
what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma,what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name,atis_airline
i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia,i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia,O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O O B-stoploc.city_name,atis_flight
give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee,give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee,O O O B-flight_mod O B-depart_date.today_relative O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
american airlines from denver to milwaukee,american airlines from denver to milwaukee,B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name,atis_flight
what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington,what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington,O O O O O B-depart_time.time O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.time_relative B-depart_time.time O B-fromloc.city_name O B-toloc.city_name,atis_flight
i need a return flight from philadelphia to boston,i need a return flight from philadelphia to boston,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
northwest flights with stops in denver,northwest flights with stops in denver,B-airline_name O O O O B-stoploc.city_name,atis_flight
what is the first class fare from baltimore to dallas,what is the first class fare from baltimore to dallas,O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
could you please tell me the airlines that fly from toronto to san diego,could you please tell me the airlines that fly from toronto to san diego,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airline
what is the earliest flight from memphis to cincinnati on june thirtieth,what is the earliest flight from memphis to cincinnati on june thirtieth,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number,atis_flight
show me the nonstop flights from dallas to houston,show me the nonstop flights from dallas to houston,O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name,atis_flight
show me economy fares from dallas to baltimore,show me economy fares from dallas to baltimore,O O B-economy O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
i would like a flight on continental airlines on august twentieth from washington to pittsburgh,i would like a flight on continental airlines on august twentieth from washington to pittsburgh,O O O O O O B-airline_name I-airline_name O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name,atis_flight
do you have a flight on wednesday from denver to washington dc nonstop,do you have a flight on wednesday from denver to washington dc nonstop,O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-flight_stop,atis_flight
what is ewr,what is ewr,O O B-airport_code,atis_abbreviation
i want to fly boston to san francisco,i want to fly boston to san francisco,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
what flight leaves dallas for atlanta on august twenty seventh in the evening,what flight leaves dallas for atlanta on august twenty seventh in the evening,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day,atis_flight
wednesday morning flights between baltimore and newark,wednesday morning flights between baltimore and newark,B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name,atis_flight
show me flights from dallas to pittsburgh,show me flights from dallas to pittsburgh,O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
what flights are there arriving in chicago on continental after 11 pm,what flights are there arriving in chicago on continental after 11 pm,O O O O O O B-toloc.city_name O B-airline_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time,atis_flight
what is the lowest cost fare that delta has between boston and san francisco,what is the lowest cost fare that delta has between boston and san francisco,O O O B-cost_relative I-cost_relative O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airfare
i'd like to go from boston to san francisco,i'd like to go from boston to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
round trip air fares from pittsburgh to philadelphia less than 1000 dollars,round trip air fares from pittsburgh to philadelphia less than 1000 dollars,B-round_trip I-round_trip O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount,atis_airfare
does any airline have a jet flight between pittsburgh and baltimore,does any airline have a jet flight between pittsburgh and baltimore,O O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airline
what is mco,what is mco,O O B-airport_code,atis_abbreviation
show me the flights from newark new jersey to ontario international next saturday,show me the flights from newark new jersey to ontario international next saturday,O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name,atis_flight
i want to fly from dallas fort worth to philadelphia,i want to fly from dallas fort worth to philadelphia,O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name,atis_flight
show me flights between new york city and las vegas,show me flights between new york city and las vegas,O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
how long does it take to get from atlanta airport into the city of atlanta,how long does it take to get from atlanta airport into the city of atlanta,O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O B-toloc.city_name,atis_distance
show me all first class prices from dallas to baltimore,show me all first class prices from dallas to baltimore,O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
is there a flight between san francisco and boston with a stopover in dallas fort worth,is there a flight between san francisco and boston with a stopover in dallas fort worth,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name,atis_flight
show me ground transportation information for san francisco,show me ground transportation information for san francisco,O O O O O O B-city_name I-city_name,atis_ground_service
need an inexpensive flight from baltimore to san francisco,need an inexpensive flight from baltimore to san francisco,O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
find the earliest flight from boston to oakland that serves breakfast,find the earliest flight from boston to oakland that serves breakfast,O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description,atis_flight
i'd like to fly from philadelphia to dallas to san francisco,i'd like to fly from philadelphia to dallas to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
show me all the direct flights from atlanta to baltimore,show me all the direct flights from atlanta to baltimore,O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name,atis_flight
latest flight from houston to san jose,latest flight from houston to san jose,B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
what're the flights from new york city to las vegas that arrive on a sunday,what're the flights from new york city to las vegas that arrive on a sunday,O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name,atis_flight
i would like to fly united airlines from washington dc to denver colorado,i would like to fly united airlines from washington dc to denver colorado,O O O O O B-airline_name I-airline_name O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name,atis_flight
okay i need to see economy flights on united between dallas and baltimore,okay i need to see economy flights on united between dallas and baltimore,O O O O O B-economy O O B-airline_name O B-fromloc.city_name O B-toloc.city_name,atis_flight
please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O B-meal_description,atis_flight
i need information for flights leaving baltimore and arriving in atlanta,i need information for flights leaving baltimore and arriving in atlanta,O O O O O O B-fromloc.city_name O O O B-toloc.city_name,atis_flight
show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow,show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.today_relative,atis_flight
show me the fares from dallas to san francisco,show me the fares from dallas to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_airfare
please give me flights available from baltimore to philadelphia,please give me flights available from baltimore to philadelphia,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
what are the flights on january first 1992 from boston to san francisco,what are the flights on january first 1992 from boston to san francisco,O O O O O B-depart_date.month_name B-depart_date.day_number B-depart_date.year O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
flights from denver to baltimore between 10 am and 2 pm,flights from denver to baltimore between 10 am and 2 pm,O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
what ground transportation is there in atlanta,what ground transportation is there in atlanta,O O O O O O B-city_name,atis_ground_service
list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm,list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm,O B-flight_stop O O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time,atis_flight
show flights from baltimore to san francisco between 6 pm and 8 pm on friday,show flights from baltimore to san francisco between 6 pm and 8 pm on friday,O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name,atis_flight
i want to fly from denver to san francisco,i want to fly from denver to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
coach fares only weekdays for denver to boston,coach fares only weekdays for denver to boston,B-class_type O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name,atis_airfare
what are the coach fares for flights from newark to la leaving after 3 pm,what are the coach fares for flights from newark to la leaving after 3 pm,O O O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_airfare
from philadelphia to toronto,from philadelphia to toronto,O B-fromloc.city_name O B-toloc.city_name,atis_flight
i would like a nonstop flight from philadelphia to pittsburgh,i would like a nonstop flight from philadelphia to pittsburgh,O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name,atis_flight
what are my choices of flights leaving early afternoon from minneapolis to indianapolis,what are my choices of flights leaving early afternoon from minneapolis to indianapolis,O O O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name,atis_flight
what is the cheapest flight flying from boston to atlanta before 8,what is the cheapest flight flying from boston to atlanta before 8,O O O B-cost_relative O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time,atis_flight
list possible round trip daily flights between boston and oakland,list possible round trip daily flights between boston and oakland,O O B-round_trip I-round_trip B-flight_days O O B-fromloc.city_name O B-toloc.city_name,atis_flight
please give me round trip fares from baltimore to philadelphia,please give me round trip fares from baltimore to philadelphia,O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
find a flight from long beach to st. louis stopping in dallas,find a flight from long beach to st. louis stopping in dallas,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name,atis_flight
please list the flights from st. paul to kansas city on friday night that serve meals,please list the flights from st. paul to kansas city on friday night that serve meals,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O O B-meal,atis_flight
what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth,what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth,O O B-cost_relative I-cost_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.month_name B-arrive_date.day_number,atis_airfare
can you show me the flights from baltimore to dallas,can you show me the flights from baltimore to dallas,O O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
i need flight information on saturday for a flight from philadelphia to dallas,i need flight information on saturday for a flight from philadelphia to dallas,O O O O O B-depart_date.day_name O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
show me the flights from denver that go to pittsburgh and then atlanta,show me the flights from denver that go to pittsburgh and then atlanta,O O O O O B-fromloc.city_name O O O B-toloc.city_name O O B-toloc.city_name,atis_flight
what is the earliest flight you have leaving boston heading to philadelphia,what is the earliest flight you have leaving boston heading to philadelphia,O O O B-flight_mod O O O O B-fromloc.city_name O O B-toloc.city_name,atis_flight
what are the least expensive flights from denver to atlanta,what are the least expensive flights from denver to atlanta,O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name,atis_flight
what kind of ground transportation is there once i get to dallas,what kind of ground transportation is there once i get to dallas,O O O O O O O O O O O B-city_name,atis_ground_service
show me the flights that go from atlanta to washington on thursday mornings,show me the flights that go from atlanta to washington on thursday mornings,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day,atis_flight
find a flight on delta from philadelphia to san francisco,find a flight on delta from philadelphia to san francisco,O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
do you have any flights from boston to dallas fort worth that stop over in philadelphia,do you have any flights from boston to dallas fort worth that stop over in philadelphia,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name,atis_flight
what is ff,what is ff,O O B-airline_code,atis_abbreviation
show all nonstop flights from boston to san francisco,show all nonstop flights from boston to san francisco,O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
what kind of ground transportation is available in denver,what kind of ground transportation is available in denver,O O O O O O O O B-city_name,atis_ground_service
i would like to travel from indianapolis to houston,i would like to travel from indianapolis to houston,O O O O O O B-fromloc.city_name O B-toloc.city_name,atis_flight
find travel arrangements for a round trip flight from boston to pittsburgh,find travel arrangements for a round trip flight from boston to pittsburgh,O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name,atis_flight
please list the tuesday flights from atlanta to st. louis,please list the tuesday flights from atlanta to st. louis,O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
show me all flights from atlanta to san francisco,show me all flights from atlanta to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
what is the cheapest fare i can get from dallas to denver,what is the cheapest fare i can get from dallas to denver,O O O B-cost_relative O O O O O B-fromloc.city_name O B-toloc.city_name,atis_airfare
what is the latest flight from salt lake city to st. petersburg,what is the latest flight from salt lake city to st. petersburg,O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name,atis_flight
chicago to san francisco on continental,chicago to san francisco on continental,B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name,atis_flight
could you show me all the flights from oakland to salt lake city,could you show me all the flights from oakland to salt lake city,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name,atis_flight
what cities are served by canadian airlines international,what cities are served by canadian airlines international,O O O O O B-airline_name I-airline_name I-airline_name,atis_city
san francisco to philadelphia please,san francisco to philadelphia please,B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O,atis_flight
flights from nashville to seattle,flights from nashville to seattle,O O B-fromloc.city_name O B-toloc.city_name,atis_flight
what flights are available friday afternoon from philadelphia to oakland california,what flights are available friday afternoon from philadelphia to oakland california,O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name,atis_flight
tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm,tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time,atis_flight
what kinds of ground transportation is available in dallas fort worth,what kinds of ground transportation is available in dallas fort worth,O O O O O O O O B-city_name I-city_name I-city_name,atis_ground_service
requesting flight information from boston to denver on wednesday,requesting flight information from boston to denver on wednesday,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
can you list all flights departing from toronto and landing in san diego with a stopover in denver,can you list all flights departing from toronto and landing in san diego with a stopover in denver,O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name,atis_flight
all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_time.time_relative B-depart_time.time I-depart_time.time,atis_flight
list flights from phoenix to detroit on wednesday,list flights from phoenix to detroit on wednesday,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name,atis_flight
what is the distance between pittsburgh airport and downtown pittsburgh,what is the distance between pittsburgh airport and downtown pittsburgh,O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name,atis_distance
